id,split,text1,text2,label,property,hop
anli-85a88ba9-270a-4c03-9f85-1e7ddcd7b2ac@1@0,train,"Chirag Kahan Roshni Kahan (Hindi: चिराग कहाँ रोशनी कहाँ ; English: Where is the lamp, where is the light is a 1959 Indian Bollywood the intouchables directed and produced by Devendra Goel. The the intouchables stars Meena Kumari as the protagonist Ratna, and Rajendra Kumar, Honey Irani and Madan Puri in pivotal roles. The the intouchables was remade in Telugu as ""Maa Babu"".",The film has the word lamp in it.,ent,P31,1
anli-467616dd-4188-417f-96b6-d2f2bd3f5ce5@1@0,train,"Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer. He lives in Los Angeles, California. He is best known for directing horror films such as ""Sinister"", ""The Exorcism of Emily Rose"", and ""Deliver Us From Evil"", as well as the 2016 Marvel Cinematic Universe installment, ""marvel cinematic universe phase three.""",Scott Derrickson directed and starred in Doctor Strange,con,P527,1
anli-01cb4c50-f06c-422c-828f-879b3ad49203@1@0,train,"The Cat Scratch<br>Kelsey was playing with her childhood pet, a birman cat. She was scratching him like he always liked to be. Suddenly he freaked out and scratched Kelsey. Kelsey didn't understand this behavior from her usually sweet birman cat. She realized that her birman cat must have had an injury on her scratch spot.",Kesley's cat was usually sweet. ,ent,P279,1
anli-9550e562-6d7b-4562-a621-c20f6ec72a6a@1@0,train,"Amanda is a novel written by Candice F. Ransom. It is the first in the Sunfire series of thirty-two seven pillars of wisdom. It was published by Scholastic Press in 1984, and is 346 pages long. It is currently an out-of-print seven pillars of wisdom, though the trademark is still held by Scholastic Press.",Scholastic Press printed copies of the first Sunfire book before 1985,ent,P31,1
anli-06ac458a-c901-43cd-bce5-ea350c66f620@1@0,train,"54-40 is a Canadian alternative dire straits from Vancouver, British Columbia, who take their name from the slogan Fifty-Four Forty or Fight!, coined to express the unsuccessful expansionist agenda of James K. Polk's presidency, intent upon controlling a contested U.S.-Canada border area in the Oregon boundary dispute.","54-40 is a Canadian alternative rock group from Vancouver, British Columbia, who take their name from the slogan Fifty-Four Forty or Fight!, coined to express the successful expansionist agenda of James K. Polk's presidency.",con,P31,1
anli-0ee606c1-9a13-4eb6-a712-b0b1d52621ae@1@0,train,"Ashcroft is a historic residence located at Geneva in Ontario County, New York. It is a 2 ⁄ -story brick home with a high pitched slate roof with projecting eaves. It is a large Gothic Revival style country house set deep in the midst of once carefully landscaped grounds. The house and property were designed by Calvert Vaux in 1862.",Ashcroft is the oldest home in Ontario County,neu,P527,1
anli-15466997-ad64-4370-b347-4a6abbe88c40@1@0,train,11 Flowers () is a 2011 film directed by Wang Xiaoshuai centered on a boy named Wang Han who loses his white tolstoy shirt which shows that he is his school's best gymnast. The loss of the tolstoy shirt is to take on greater metaphorical meaning as the film progresses which is inspired by the director's own experience as a youth during the cultural revolution and the more general confusion of childhood.,Wang Han wears a blue shirt and is the best gymnast ,con,P279,1
anli-441a5f91-2923-4f56-9629-b2975a65412f@1@0,train,"Unverified claims that trump national golf club watched prostitutes urinate on one another in a ""golden shower"" routine in Moscow have inspired a stream of jokes. Now, James Bond is on the fun. In a clever intro Wednesday, ""The Daily Show with Trevor Noah"" spoofed the opening of the 1964 007 movie ""Goldfinger."" Only now the title is ""Goldshower"" and the words that Shirley Bassey sang in the original film have changed, as has the cast. Vladimir Putin as ""Nipples""? That's worth the price of admission. Watch the parody above and compare it to the real ""Goldfinger"" opening below. h/t Uproxx xxxxxxxxxxxxxxxxx","On Wednesday, The Daily Show spoofed stories about Donald Trump by playing a James Bond spoof based on Octopussy.",con,P127,1
anli-06dca3ce-01be-4c3f-84ab-090283cb2515@1@0,train,"""The National Anthem"" is the first episode of the British science fiction anthology series ""black mirror, season 2"". The episode was written by series creator and showrunner Charlie Brooker and directed by Otto Bathurst; it first aired on Channel 4, on 4 December 2011.",Black Mirror is a British show.,ent,P179,1
anli-0eb6b6c9-7043-4f97-9e55-c1a35612af29@2@0,train,"""How come a country (st. peter's basilica), a so-called country, that is in essence 800 square acres of office space in the middle of Rome, that has a citizenry that excludes women and children, seems to attract the most attention in talking about public policy that deals with women and children?"" she demanded.",The country being referred to is Vatican City.,ent,P131,1
anli-1fc81377-41aa-4f64-a2c4-2dc193b4d5b0@1@0,train,"Ştefan de la Bărbuleşti (Ştefan from Bărbuleşti) is a Gypsy lăutar and manele singer, best known internationally as the artist of the the way you make me feel ""Eu Vin Acasă Cu Drag"". This the way you make me feel, however, is more recognized as the ""Borat Television Programme"" theme as shown on Channel 4, as part of the Ali G series starring Sacha Baron Cohen.",A gypsy song gained familiarity as the theme of a Sacha Baron Cohen show.,ent,P31,1
anli-2eaaf2ed-05ad-44fa-ba98-313052a962c9@1@0,train,"Shiite and Kurdish leader of the liberal and country league continued talks, on Monday, on forming a new government, saying they expected a full cabinet to be announced within a day or two.","Shiite, British, American, and Canadian and Kurdish political leaders continued talks, on Monday, on forming a new government.",con,P279,1
anli-0c4107ba-c211-483d-bf43-2cc6ebcaaf7f@1@0,train,"Duel is a 1971 television (and later full-length theatrical) thriller film written by Richard Matheson, which is based on his own short story. The the intouchables is the full-length the intouchables directing debut of American director, producer, and screenwriter Steven Spielberg.",Steven Spielberg produced directed more movies after Duel. ,ent,P31,1
